y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
01,96,AL,AL Total Migration-US and Foreign,59325,125513,3547783
01,97,AL,AL Total Migration-US,58705,123967,3512308
01,98,AL,AL Total Migration-Foreign,620,1546,35476
01,97,AL,AL Total Migration-Same State,71530,148378,3510398
01,01,AL,AL Non-migrants,1557431,3431227,98499373
01,13,GA,Georgia,9421,19942,517506
01,12,FL,Florida,7949,15982,397524
01,47,TN,Tennessee,5030,10236,286354
01,48,TX,Texas,4366,9639,288594
01,28,MS,Mississippi,3539,7482,184065
01,06,CA,California,2226,4494,130316
01,37,NC,North Carolina,2095,4636,117993
01,51,VA,Virginia,1891,4323,150872
01,22,LA,Louisiana,1795,3776,106650
01,17,IL,Illinois,1509,3127,95485
01,36,NY,New York,1292,2543,77162
01,39,OH,Ohio,1277,2610,70039
01,45,SC,South Carolina,1151,2473,74138
01,08,CO,Colorado,1132,2566,70787
01,26,MI,Michigan,1117,2227,51906
01,21,KY,Kentucky,1079,2292,61616
01,18,IN,Indiana,1024,2225,58700
01,29,MO,Missouri,877,1827,150993
01,42,PA,Pennsylvania,843,1757,57142
01,24,MD,Maryland,713,1493,51436
01,53,WA,Washington,680,1568,40554
01,04,AZ,Arizona,664,1395,41404
01,05,AR,Arkansas,644,1414,39911
01,57,FR,Foreign,620,1546,35476
01,40,OK,Oklahoma,565,1242,33751
01,20,KS,Kansas,522,1303,24988
01,34,NJ,New Jersey,504,1003,31553
01,55,WI,Wisconsin,423,913,23252
01,15,HI,Hawaii,367,990,22142
01,25,MA,Massachusetts,347,642,22350
01,19,IA,Iowa,342,696,21398
01,32,NV,Nevada,310,669,18868
01,02,AK,Alaska,306,779,17738
01,27,MN,Minnesota,287,552,17033
01,49,UT,Utah,258,672,19324
01,54,WV,West Virginia,257,520,18458
01,35,NM,New Mexico,247,543,14240
01,41,OR,Oregon,244,470,12841
01,09,CT,Connecticut,235,457,22093
01,31,NE,Nebraska,183,434,12175
01,16,ID,Idaho,110,244,5579
01,33,NH,New Hampshire,107,228,7726
01,10,DE,Delaware,106,210,7427
01,11,DC,District Of Columbia,106,169,7877
01,38,ND,North Dakota,102,212,5135
01,30,MT,Montana,101,223,5427
01,23,ME,Maine,91,167,4564
01,56,WY,Wyoming,85,201,3625
01,46,SD,South Dakota,81,185,5712
01,44,RI,Rhode Island,62,140,3430
01,50,VT,Vermont,43,76,2451
02,96,AK,AK Total Migration-US and Foreign,17878,36790,931766
02,97,AK,AK Total Migration-US,17479,35838,912392
02,98,AK,AK Total Migration-Foreign,399,952,19374
02,97,AK,AK Total Migration-Same State,8067,15530,475064
02,02,AK,AK Non-migrants,254982,531710,20165701
02,06,CA,California,1731,3271,86069
02,53,WA,Washington,1648,3265,88990
02,48,TX,Texas,1549,3556,103013
02,12,FL,Florida,937,1878,47275
02,41,OR,Oregon,796,1405,38531
02,08,CO,Colorado,773,1556,41691
02,04,AZ,Arizona,670,1336,34578
02,37,NC,North Carolina,619,1542,31305
