y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
01,96,AL,AL Total Migration-US and Foreign,45226,89318,2474087
01,97,AL,AL Total Migration-US,44600,87927,2439333
01,98,AL,AL Total Migration-Foreign,626,1391,34755
01,97,AL,AL Total Migration-Same State,59337,119622,2833824
01,01,AL,AL Non-migrants,1582765,3468405,104423723
01,13,GA,Georgia,8046,15813,382562
01,12,FL,Florida,6859,13261,415716
01,47,TN,Tennessee,4097,7803,218707
01,48,TX,Texas,3436,7080,197865
01,28,MS,Mississippi,2387,4925,111077
01,37,NC,North Carolina,1705,3372,96085
01,06,CA,California,1531,2797,80557
01,51,VA,Virginia,1327,2772,93065
01,22,LA,Louisiana,1156,2201,63399
01,45,SC,South Carolina,1060,2264,83605
01,08,CO,Colorado,928,1785,62049
01,36,NY,New York,838,1552,39660
01,39,OH,Ohio,819,1625,41016
01,17,IL,Illinois,750,1429,37299
01,21,KY,Kentucky,743,1519,36672
01,26,MI,Michigan,706,1362,35040
01,53,WA,Washington,692,1375,39495
01,18,IN,Indiana,633,1260,29313
01,57,FR,Foreign,626,1391,34755
01,04,AZ,Arizona,581,1169,35359
01,29,MO,Missouri,547,1106,27704
01,24,MD,Maryland,494,906,28185
01,42,PA,Pennsylvania,491,930,29934
01,05,AR,Arkansas,439,866,18777
01,40,OK,Oklahoma,362,753,19753
01,20,KS,Kansas,338,769,18909
01,34,NJ,New Jersey,282,522,16235
01,55,WI,Wisconsin,277,523,13886
01,25,MA,Massachusetts,272,485,17628
01,32,NV,Nevada,272,542,12387
01,41,OR,Oregon,247,452,14041
01,15,HI,Hawaii,230,565,14775
01,27,MN,Minnesota,214,416,10766
01,02,AK,Alaska,186,468,10405
01,49,UT,Utah,185,407,11894
01,19,IA,Iowa,183,364,9251
01,35,NM,New Mexico,166,324,5535
01,09,CT,Connecticut,130,228,6548
01,11,DC,District Of Columbia,126,179,9600
01,54,WV,West Virginia,120,251,5381
01,31,NE,Nebraska,111,238,5830
01,16,ID,Idaho,110,252,5114
01,30,MT,Montana,98,183,4681
01,38,ND,North Dakota,76,170,3469
01,23,ME,Maine,73,163,5306
01,10,DE,Delaware,56,99,3408
01,56,WY,Wyoming,56,107,2915
01,33,NH,New Hampshire,55,97,2284
01,46,SD,South Dakota,44,93,3132
01,44,RI,Rhode Island,41,68,1866
01,50,VT,Vermont,25,37,1192
02,96,AK,AK Total Migration-US and Foreign,17978,35890,1063918
02,97,AK,AK Total Migration-US,17568,35030,1042243
02,98,AK,AK Total Migration-Foreign,410,860,21675
02,97,AK,AK Total Migration-Same State,6313,11863,357507
02,02,AK,AK Non-migrants,258617,541059,20796383
02,53,WA,Washington,2252,4173,131725
02,06,CA,California,1434,2561,70079
02,48,TX,Texas,1302,2989,89762
02,04,AZ,Arizona,992,1888,66794
02,41,OR,Oregon,963,1712,57723
02,12,FL,Florida,832,1614,49044
02,08,CO,Colorado,786,1449,47287
02,32,NV,Nevada,534,1031,33489
02,16,ID,Idaho,529,1102,36578
02,37,NC,North Carolina,493,1052,25628
02,13,GA,Georgia,472,1043,23577
02,15,HI,Hawaii,430,866,24705
02,51,VA,Virginia,424,921,26897
02,57,FR,Foreign,410,860,21675
02,49,UT,Utah,334,744,21514
02,36,NY,New York,331,593,16196
02,30,MT,Montana,322,612,22050
02,26,MI,Michigan,314,591,17558
02,27,MN,Minnesota,307,608,15675
02,47,TN,Tennessee,297,680,18321
02,42,PA,Pennsylvania,251,452,14485
02,40,OK,Oklahoma,247,568,16214
02,29,MO,Missouri,246,555,14690
02,39,OH,Ohio,246,490,12735
02,45,SC,South Carolina,226,496,13998
02,17,IL,Illinois,215,409,11348
02,35,NM,New Mexico,214,470,12346
02,01,AL,Alabama,212,491,13957
02,55,WI,Wisconsin,212,408,12332
02,20,KS,Kansas,197,484,10809
02,24,MD,Maryland,173,367,10395
02,22,LA,Louisiana,155,381,9599
02,21,KY,Kentucky,152,333,8724
02,18,IN,Indiana,146,287,7377
02,34,NJ,New Jersey,127,225,5271
02,25,MA,Massachusetts,119,206,6298
02,05,AR,Arkansas,119,246,6056
02,19,IA,Iowa,117,266,6603
02,56,WY,Wyoming,112,235,7752
02,28,MS,Mississippi,112,218,6637
02,31,NE,Nebraska,98,203,7112
02,46,SD,South Dakota,96,215,6177
02,38,ND,North Dakota,95,198,5179
02,23,ME,Maine,90,179,7225
02,33,NH,New Hampshire,48,79,2983
02,09,CT,Connecticut,39,69,1644
02,11,DC,District Of Columbia,36,59,2539
02,50,VT,Vermont,34,52,2039
02,54,WV,West Virginia,32,53,2040
02,10,DE,Delaware,30,60,1654
02,44,RI,Rhode Island,24,47,1419
04,96,AZ,AZ Total Migration-US and Foreign,85671,159284,5335361
04,97,AZ,AZ Total Migration-US,84705,157267,5278009
04,98,AZ,AZ Total Migration-Foreign,966,2017,57352
04,97,AZ,AZ Total Migration-Same State,43338,85869,2145644
04,04,AZ,AZ Non-migrants,2338957,5039710,168227838
04,06,CA,California,14685,26048,872129
04,48,TX,Texas,7625,15211,522240
