y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
01,96,AL,AL Total Migration-US and Foreign,44067,92183,2349190
01,97,AL,AL Total Migration-US,43204,90052,2295405
01,98,AL,AL Total Migration-Foreign,863,2131,53785
01,97,AL,AL Total Migration-Same State,56323,115151,2486684
01,01,AL,AL Non-migrants,1586719,3527365,98693046
01,13,GA,Georgia,7152,15067,335831
01,12,FL,Florida,5714,11350,271917
01,48,TX,Texas,3787,8154,206770
01,47,TN,Tennessee,3501,7195,171200
01,28,MS,Mississippi,2779,5727,131920
01,06,CA,California,1568,3202,104649
01,37,NC,North Carolina,1491,3216,81640
01,51,VA,Virginia,1341,2940,97499
01,22,LA,Louisiana,1263,2540,67463
01,17,IL,Illinois,1131,2299,64621
01,36,NY,New York,1042,1955,52742
01,39,OH,Ohio,962,1992,53346
01,45,SC,South Carolina,875,1861,50751
01,57,FR,Foreign,863,2131,53785
01,26,MI,Michigan,797,1560,36457
01,21,KY,Kentucky,791,1815,40821
01,18,IN,Indiana,697,1422,37289
01,08,CO,Colorado,696,1491,38369
01,29,MO,Missouri,623,1271,32434
01,42,PA,Pennsylvania,615,1225,40484
01,53,WA,Washington,524,1191,29262
01,05,AR,Arkansas,490,1015,25852
01,24,MD,Maryland,453,931,37659
01,04,AZ,Arizona,439,855,27100
01,40,OK,Oklahoma,434,1000,24453
01,34,NJ,New Jersey,359,715,18475
01,20,KS,Kansas,359,888,20661
01,55,WI,Wisconsin,280,571,18796
01,15,HI,Hawaii,251,646,12289
01,25,MA,Massachusetts,250,470,13621
01,02,AK,Alaska,220,569,14641
01,32,NV,Nevada,217,479,11177
01,19,IA,Iowa,205,440,13196
01,27,MN,Minnesota,183,376,14551
01,35,NM,New Mexico,176,386,9885
01,09,CT,Connecticut,174,344,9505
01,54,WV,West Virginia,173,370,10251
01,41,OR,Oregon,150,264,7317
01,31,NE,Nebraska,137,362,9389
01,49,UT,Utah,134,331,7411
01,23,ME,Maine,94,177,4418
01,38,ND,North Dakota,84,178,4718
01,30,MT,Montana,81,163,3298
01,16,ID,Idaho,79,185,4293
01,11,DC,District Of Columbia,77,140,6366
01,33,NH,New Hampshire,76,154,4727
01,56,WY,Wyoming,73,145,4033
01,46,SD,South Dakota,65,132,3519
01,10,DE,Delaware,63,143,3932
01,44,RI,Rhode Island,48,101,3043
01,50,VT,Vermont,31,49,1363
02,96,AK,AK Total Migration-US and Foreign,15019,30063,780577
02,97,AK,AK Total Migration-US,14538,28892,747552
02,98,AK,AK Total Migration-Foreign,481,1171,33024
02,97,AK,AK Total Migration-Same State,6977,13185,400587
02,02,AK,AK Non-migrants,263504,551228,21573844
02,06,CA,California,1564,2924,75430
02,53,WA,Washington,1427,2673,72395
02,48,TX,Texas,1212,2656,90385
02,12,FL,Florida,711,1390,31004
02,41,OR,Oregon,686,1238,33221
02,08,CO,Colorado,645,1238,34376
02,04,AZ,Arizona,549,1084,24419
02,57,FR,Foreign,481,1171,33024
02,13,GA,Georgia,478,1095,21120
02,37,NC,North Carolina,440,1064,19375
02,51,VA,Virginia,407,898,23100
02,15,HI,Hawaii,374,841,15332
02,36,NY,New York,351,644,16175
02,32,NV,Nevada,283,555,14716
02,16,ID,Idaho,279,581,16234
02,30,MT,Montana,272,482,15037
02,26,MI,Michigan,256,417,11422
02,49,UT,Utah,255,563,15746
02,42,PA,Pennsylvania,249,411,10917
02,17,IL,Illinois,248,433,11838
02,27,MN,Minnesota,245,369,10730
02,39,OH,Ohio,239,418,10786
02,47,TN,Tennessee,238,480,11246
02,29,MO,Missouri,233,516,11186
02,40,OK,Oklahoma,226,508,12789
02,20,KS,Kansas,214,539,11395
02,01,AL,Alabama,195,475,10526
02,22,LA,Louisiana,176,393,9955
02,45,SC,South Carolina,171,373,7704
02,55,WI,Wisconsin,167,275,7437
02,24,MD,Maryland,167,341,9420
02,35,NM,New Mexico,157,346,9000
02,25,MA,Massachusetts,130,235,6609
02,18,IN,Indiana,127,221,6574
02,21,KY,Kentucky,125,282,5464
02,56,WY,Wyoming,112,229,6975
02,05,AR,Arkansas,103,225,4999
02,28,MS,Mississippi,102,199,4513
02,38,ND,North Dakota,99,190,5586
02,34,NJ,New Jersey,87,167,4375
02,46,SD,South Dakota,79,146,4391
02,31,NE,Nebraska,74,140,3764
02,19,IA,Iowa,69,106,3400
02,09,CT,Connecticut,68,84,3676
02,23,ME,Maine,58,121,2498
02,50,VT,Vermont,46,77,1788
02,54,WV,West Virginia,40,71,2126
02,11,DC,District Of Columbia,34,50,2904
02,33,NH,New Hampshire,30,52,1385
02,44,RI,Rhode Island,22,37,1291
02,10,DE,Delaware,19,40,818
04,96,AZ,AZ Total Migration-US and Foreign,106659,205034,6870173
04,97,AZ,AZ Total Migration-US,104431,200092,6743397
04,98,AZ,AZ Total Migration-Foreign,2228,4942,126776
04,97,AZ,AZ Total Migration-Same State,39345,79128,1773806
04,04,AZ,AZ Non-migrants,2244724,4934525,149241976
04,06,CA,California,21581,41883,1363770
04,48,TX,Texas,7831,16054,488135
04,17,IL,Illinois,5699,10626,520396
04,08,CO,Colorado,5275,9782,334193
04,53,WA,Washington,4905,9221,323006
04,35,NM,New Mexico,4054,9074,192576
04,12,FL,Florida,3649,6413,219000
04,32,NV,Nevada,3229,6144,182376
04,36,NY,New York,3148,5412,201200
04,26,MI,Michigan,2842,5114,149476
04,27,MN,Minnesota,2555,4509,226593
04,39,OH,Ohio,2440,4404,163533
04,41,OR,Oregon,2425,4403,149207
04,49,UT,Utah,2415,5554,126319
04,57,FR,Foreign,2228,4942,126776
04,55,WI,Wisconsin,2219,4046,135918
04,42,PA,Pennsylvania,2019,3669,150283
04,29,MO,Missouri,1794,3428,116374
04,18,IN,Indiana,1733,3184,97390
04,51,VA,Virginia,1708,3448,130912
04,37,NC,North Carolina,1668,3425,98286
04,13,GA,Georgia,1584,3251,100272
04,34,NJ,New Jersey,1287,2300,122908
04,19,IA,Iowa,1173,2078,72308
04,25,MA,Massachusetts,1133,1893,97290
04,47,TN,Tennessee,1125,2202,66186
04,20,KS,Kansas,1120,2336,75101
04,40,OK,Oklahoma,1049,2212,57952
04,16,ID,Idaho,1038,2172,52004
04,24,MD,Maryland,966,1763,69012
04,31,NE,Nebraska,949,1741,60947
04,15,HI,Hawaii,867,1686,50247
04,30,MT,Montana,822,1414,44436
04,02,AK,Alaska,776,1511,51951
04,38,ND,North Dakota,767,1380,44948
04,46,SD,South Dakota,724,1332,34685
04,09,CT,Connecticut,692,1218,68461
04,56,WY,Wyoming,664,1260,36689
04,45,SC,South Carolina,625,1240,38538
04,05,AR,Arkansas,568,1142,29318
04,22,LA,Louisiana,539,1023,25814
04,21,KY,Kentucky,537,1082,29894
04,01,AL,Alabama,471,924,28134
04,33,NH,New Hampshire,333,553,20900
04,28,MS,Mississippi,318,583,23224
04,23,ME,Maine,308,525,15551
04,54,WV,West Virginia,183,361,11622
04,10,DE,Delaware,168,334,10491
04,50,VT,Vermont,162,288,11337
04,44,RI,Rhode Island,161,312,12293
04,11,DC,District Of Columbia,133,183,11942
05,96,AR,AR Total Migration-US and Foreign,29427,61281,1498746
05,97,AR,AR Total Migration-US,29091,60533,1480406
05,98,AR,AR Total Migration-Foreign,336,748,18339
05,97,AR,AR Total Migration-Same State,40173,82499,1574241
05,05,AR,AR Non-migrants,943914,2113627,58681968
05,48,TX,Texas,5906,12348,291777
05,40,OK,Oklahoma,2664,5774,109437
05,29,MO,Missouri,2656,5552,113979
05,06,CA,California,1740,3619,88568
05,47,TN,Tennessee,1647,3398,77180
05,22,LA,Louisiana,1273,2678,61826
05,12,FL,Florida,1190,2288,63924
05,17,IL,Illinois,1039,2067,61056
05,28,MS,Mississippi,959,2011,43009
05,20,KS,Kansas,717,1507,38244
05,08,CO,Colorado,666,1364,34603
05,13,GA,Georgia,639,1384,37703
05,37,NC,North Carolina,557,1157,31678
05,39,OH,Ohio,477,981,28690
05,04,AZ,Arizona,469,925,24182
05,51,VA,Virginia,421,895,28578
05,01,AL,Alabama,403,849,21199
05,26,MI,Michigan,394,790,19571
05,36,NY,New York,381,751,16795
