y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
01,96,AL,AL Total Migration-US and Foreign,44461,89926,2507957
01,97,AL,AL Total Migration-US,43638,88139,2460974
01,98,AL,AL Total Migration-Foreign,823,1787,46982
01,97,AL,AL Total Migration-Same State,56323,115151,2486684
01,01,AL,AL Non-migrants,1586719,3527365,98693046
01,13,GA,Georgia,8103,16268,379251
01,12,FL,Florida,6493,12760,398129
01,47,TN,Tennessee,4043,7929,273599
01,48,TX,Texas,3602,7789,203940
01,28,MS,Mississippi,2369,4772,108413
01,37,NC,North Carolina,1725,3574,96944
01,06,CA,California,1544,2864,95036
01,22,LA,Louisiana,1285,2544,67787
01,51,VA,Virginia,1242,2671,77510
01,08,CO,Colorado,935,1777,72989
01,45,SC,South Carolina,919,1897,57744
01,39,OH,Ohio,856,1736,44834
01,57,FR,Foreign,823,1787,46982
01,36,NY,New York,767,1525,64801
01,21,KY,Kentucky,751,1664,41052
01,17,IL,Illinois,695,1313,32036
01,26,MI,Michigan,682,1406,32432
01,53,WA,Washington,614,1273,34346
01,18,IN,Indiana,548,1145,26296
01,29,MO,Missouri,531,1083,28886
01,04,AZ,Arizona,471,924,28134
01,42,PA,Pennsylvania,458,885,25979
01,24,MD,Maryland,452,838,25426
01,05,AR,Arkansas,403,849,21199
01,20,KS,Kansas,378,951,20232
01,40,OK,Oklahoma,344,756,20547
01,34,NJ,New Jersey,243,486,13857
01,55,WI,Wisconsin,241,487,11406
01,25,MA,Massachusetts,239,445,16062
01,15,HI,Hawaii,236,566,13541
01,32,NV,Nevada,223,414,8863
01,41,OR,Oregon,218,395,11584
01,19,IA,Iowa,208,438,10476
01,02,AK,Alaska,195,475,10526
01,35,NM,New Mexico,181,342,10133
01,27,MN,Minnesota,178,347,9430
01,49,UT,Utah,175,388,9775
01,54,WV,West Virginia,128,264,7261
01,11,DC,District Of Columbia,119,153,7537
01,09,CT,Connecticut,117,221,5524
01,31,NE,Nebraska,99,221,5856
01,30,MT,Montana,93,232,5032
01,38,ND,North Dakota,87,185,3636
01,16,ID,Idaho,75,164,3235
01,23,ME,Maine,74,142,4030
01,56,WY,Wyoming,66,110,3816
01,44,RI,Rhode Island,61,113,2999
01,46,SD,South Dakota,56,115,2409
01,33,NH,New Hampshire,51,102,2342
01,10,DE,Delaware,40,83,1429
01,50,VT,Vermont,25,58,2673
02,96,AK,AK Total Migration-US and Foreign,17583,35476,1059270
02,97,AK,AK Total Migration-US,17075,34432,1027959
02,98,AK,AK Total Migration-Foreign,508,1044,31311
02,97,AK,AK Total Migration-Same State,6977,13185,400587
02,02,AK,AK Non-migrants,263504,551228,21573844
02,53,WA,Washington,2211,4029,140940
02,06,CA,California,1510,2720,75415
02,48,TX,Texas,1370,3090,107007
02,41,OR,Oregon,1070,1901,61589
02,12,FL,Florida,796,1589,44244
02,08,CO,Colorado,788,1583,49645
02,04,AZ,Arizona,776,1511,51951
02,37,NC,North Carolina,523,1198,26968
02,57,FR,Foreign,508,1044,31311
02,16,ID,Idaho,466,956,31515
02,13,GA,Georgia,442,1043,21281
02,51,VA,Virginia,400,925,22678
02,32,NV,Nevada,400,757,27067
02,15,HI,Hawaii,374,756,23115
02,30,MT,Montana,356,633,24076
02,36,NY,New York,338,653,17467
02,49,UT,Utah,310,716,16527
02,47,TN,Tennessee,289,647,17502
02,26,MI,Michigan,271,536,15164
02,27,MN,Minnesota,271,487,16600
02,39,OH,Ohio,250,491,13135
02,29,MO,Missouri,239,536,12207
02,40,OK,Oklahoma,227,501,15788
02,42,PA,Pennsylvania,226,417,13152
02,01,AL,Alabama,220,569,14641
02,55,WI,Wisconsin,206,429,11648
02,35,NM,New Mexico,201,398,13164
02,45,SC,South Carolina,199,449,11598
02,17,IL,Illinois,196,357,10729
02,21,KY,Kentucky,171,377,8670
02,22,LA,Louisiana,170,373,9782
02,24,MD,Maryland,169,378,9727
02,20,KS,Kansas,160,413,8485
02,18,IN,Indiana,146,314,9139
02,38,ND,North Dakota,127,295,6800
02,56,WY,Wyoming,125,234,7540
02,34,NJ,New Jersey,125,284,5868
02,25,MA,Massachusetts,113,211,6029
02,05,AR,Arkansas,109,256,6658
02,46,SD,South Dakota,100,195,6963
02,19,IA,Iowa,98,188,5850
02,28,MS,Mississippi,93,207,5564
02,31,NE,Nebraska,92,183,4931
02,23,ME,Maine,81,132,4013
02,33,NH,New Hampshire,52,107,3437
02,09,CT,Connecticut,49,90,2333
02,50,VT,Vermont,45,69,1939
02,10,DE,Delaware,43,99,2159
02,54,WV,West Virginia,33,71,1644
02,11,DC,District Of Columbia,30,43,2800
02,44,RI,Rhode Island,19,36,813
04,96,AZ,AZ Total Migration-US and Foreign,82422,158093,4906305
04,97,AZ,AZ Total Migration-US,80220,153661,4751827
04,98,AZ,AZ Total Migration-Foreign,2202,4432,154478
04,97,AZ,AZ Total Migration-Same State,39345,79128,1773806
04,04,AZ,AZ Non-migrants,2244724,4934525,149241976
04,06,CA,California,14852,27083,878828
04,48,TX,Texas,7211,15294,608834
04,53,WA,Washington,4789,8923,284789
04,08,CO,Colorado,4707,8636,276951
04,12,FL,Florida,3536,6393,235033
04,32,NV,Nevada,3279,6251,128566
04,41,OR,Oregon,2947,5285,157514
04,35,NM,New Mexico,2862,6008,121550
04,49,UT,Utah,2637,6258,150013
04,17,IL,Illinois,2478,4228,158910
04,57,FR,Foreign,2202,4432,154478
04,26,MI,Michigan,1782,3361,95211
04,37,NC,North Carolina,1733,3502,101274
04,36,NY,New York,1722,2764,105408
04,39,OH,Ohio,1620,3014,84866
04,51,VA,Virginia,1498,3019,103302
04,27,MN,Minnesota,1482,2637,84793
04,13,GA,Georgia,1426,3074,85550
04,55,WI,Wisconsin,1254,2235,60698
04,29,MO,Missouri,1183,2318,61020
04,16,ID,Idaho,1180,2599,62432
04,42,PA,Pennsylvania,1180,2135,68876
04,47,TN,Tennessee,1096,2216,66300
04,18,IN,Indiana,1013,1860,49413
04,40,OK,Oklahoma,862,1720,41651
04,25,MA,Massachusetts,807,1241,48623
04,20,KS,Kansas,799,1626,52793
04,24,MD,Maryland,752,1539,46555
04,19,IA,Iowa,750,1468,38034
04,15,HI,Hawaii,729,1385,46948
04,45,SC,South Carolina,715,1493,43301
04,34,NJ,New Jersey,669,1200,52007
04,30,MT,Montana,668,1302,36095
04,31,NE,Nebraska,613,1177,30628
04,02,AK,Alaska,549,1084,24419
04,21,KY,Kentucky,516,1071,24406
04,05,AR,Arkansas,469,925,24182
04,38,ND,North Dakota,458,883,24317
04,22,LA,Louisiana,440,868,21432
04,01,AL,Alabama,439,855,27100
04,46,SD,South Dakota,436,815,23750
04,56,WY,Wyoming,400,861,19173
04,09,CT,Connecticut,360,630,20169
04,28,MS,Mississippi,243,502,10917
04,33,NH,New Hampshire,228,437,13154
04,23,ME,Maine,200,387,13217
04,11,DC,District Of Columbia,185,248,11234
04,54,WV,West Virginia,131,260,7359
04,50,VT,Vermont,114,190,6333
04,10,DE,Delaware,111,196,6785
04,44,RI,Rhode Island,110,205,7114
05,96,AR,AR Total Migration-US and Foreign,29791,60253,1538258
05,97,AR,AR Total Migration-US,29344,59326,1515298
05,98,AR,AR Total Migration-Foreign,447,927,22960
05,97,AR,AR Total Migration-Same State,40173,82499,1574241
05,05,AR,AR Non-migrants,943914,2113627,58681968
05,48,TX,Texas,6142,12550,305268
05,40,OK,Oklahoma,2576,5502,97619
05,29,MO,Missouri,2472,5078,96949
05,47,TN,Tennessee,1810,3579,98147
05,12,FL,Florida,1595,3053,126619
05,06,CA,California,1449,2677,85420
05,22,LA,Louisiana,1033,2094,44048
05,28,MS,Mississippi,841,1797,40304
05,17,IL,Illinois,818,1514,37996
05,13,GA,Georgia,807,1690,45401
05,08,CO,Colorado,793,1448,45158
05,37,NC,North Carolina,617,1322,37820
05,20,KS,Kansas,583,1194,27405
05,04,AZ,Arizona,568,1142,29318
05,53,WA,Washington,503,1002,26886
05,01,AL,Alabama,490,1015,25852
05,39,OH,Ohio,461,997,31577
05,57,FR,Foreign,447,927,22960
05,51,VA,Virginia,444,876,24918
05,26,MI,Michigan,424,862,17350
05,18,IN,Indiana,379,828,16920
05,36,NY,New York,340,588,20560
05,21,KY,Kentucky,299,640,14280
05,55,WI,Wisconsin,297,597,17106
05,45,SC,South Carolina,295,657,17831
05,27,MN,Minnesota,288,576,18423
05,42,PA,Pennsylvania,269,534,17830
05,19,IA,Iowa,269,554,11821
05,41,OR,Oregon,268,489,12073
05,32,NV,Nevada,229,455,10515
05,31,NE,Nebraska,205,426,9893
05,24,MD,Maryland,198,401,13256
05,35,NM,New Mexico,182,374,10243
05,34,NJ,New Jersey,166,317,12776
05,49,UT,Utah,152,334,7654
05,25,MA,Massachusetts,144,231,7034
05,38,ND,North Dakota,107,229,6351
05,02,AK,Alaska,103,225,4999
05,15,HI,Hawaii,89,177,3757
05,54,WV,West Virginia,81,167,7114
05,16,ID,Idaho,81,177,4226
05,56,WY,Wyoming,76,167,3314
05,09,CT,Connecticut,63,126,4662
05,30,MT,Montana,60,135,2475
05,11,DC,District Of Columbia,57,72,3455
05,46,SD,South Dakota,55,133,2784
05,33,NH,New Hampshire,48,92,2891
05,10,DE,Delaware,42,77,2072
05,23,ME,Maine,39,76,2134
05,44,RI,Rhode Island,23,58,2326
05,50,VT,Vermont,14,22,468
06,96,CA,CA Total Migration-US and Foreign,288918,546608,21980767
06,97,CA,CA Total Migration-US,275989,521161,20800487
06,98,CA,CA Total Migration-Foreign,12929,25447,1180280
06,97,CA,CA Total Migration-Same State,469650,871318,37270805
06,06,CA,CA Non-migrants,13795079,30665600,1218863061
06,48,TX,Texas,30052,62767,2353043
06,53,WA,Washington,22782,42791,1928012
06,32,NV,Nevada,22484,43195,1443121
06,04,AZ,Arizona,21581,41883,1363770
06,41,OR,Oregon,19217,34143,1338340
06,36,NY,New York,13532,18950,1396664
06,12,FL,Florida,13401,24367,1065476
06,57,FR,Foreign,12929,25447,1180280
06,08,CO,Colorado,12004,22037,918452
06,51,VA,Virginia,7532,15757,538867
06,17,IL,Illinois,7334,12678,578734
06,37,NC,North Carolina,7179,14991,528831
06,13,GA,Georgia,6816,13348,495294
06,49,UT,Utah,6529,14400,517078
06,16,ID,Idaho,5650,12229,445450
06,15,HI,Hawaii,5532,9889,553437
06,25,MA,Massachusetts,5070,8057,542670
06,42,PA,Pennsylvania,4473,7617,356423
06,47,TN,Tennessee,4427,8612,336868
06,39,OH,Ohio,4098,7517,283610
06,26,MI,Michigan,4060,7538,276214
06,24,MD,Maryland,3744,7136,270179
06,34,NJ,New Jersey,3712,6691,359947
06,29,MO,Missouri,3444,6600,230111
06,27,MN,Minnesota,3261,5977,244359
06,35,NM,New Mexico,2852,5285,176181
06,40,OK,Oklahoma,2649,5570,120087
06,18,IN,Indiana,2586,4934,137090
06,55,WI,Wisconsin,2488,4601,159714
06,45,SC,South Carolina,2400,4799,172197
06,22,LA,Louisiana,2101,3805,119586
06,30,MT,Montana,2016,3658,166156
06,20,KS,Kansas,1965,4005,107118
06,05,AR,Arkansas,1740,3619,88568
06,09,CT,Connecticut,1730,3038,173866
06,11,DC,District Of Columbia,1598,2035,139005
06,01,AL,Alabama,1568,3202,104649
06,02,AK,Alaska,1564,2924,75430
06,21,KY,Kentucky,1532,2940,73532
06,19,IA,Iowa,1474,2841,79402
06,31,NE,Nebraska,1435,3000,84945
06,28,MS,Mississippi,906,1793,42472
06,56,WY,Wyoming,864,1592,91284
06,38,ND,North Dakota,735,1384,32099
06,33,NH,New Hampshire,720,1254,79018
06,46,SD,South Dakota,716,1364,44810
06,23,ME,Maine,662,1161,43685
06,44,RI,Rhode Island,637,1191,44292
06,50,VT,Vermont,420,643,32821
06,10,DE,Delaware,363,698,26078
06,54,WV,West Virginia,354,655,21450
08,96,CO,CO Total Migration-US and Foreign,84897,160182,5268770
08,97,CO,CO Total Migration-US,82680,155656,5138732
08,98,CO,CO Total Migration-Foreign,2217,4526,130037
08,97,CO,CO Total Migration-Same State,127484,228469,7605894
08,08,CO,CO Non-migrants,1918876,4080659,160709968
08,48,TX,Texas,9003,18768,635234
08,06,CA,California,8864,15078,609634
08,12,FL,Florida,5524,10316,389598
08,04,AZ,Arizona,5275,9782,334193
08,53,WA,Washington,3623,6723,211684
08,35,NM,New Mexico,2274,4309,114313
08,57,FR,Foreign,2217,4526,130037
08,41,OR,Oregon,2181,3699,122107
08,37,NC,North Carolina,2180,4334,130422
08,17,IL,Illinois,2108,3586,144700
08,13,GA,Georgia,1940,4115,123553
08,49,UT,Utah,1927,4221,116998
08,36,NY,New York,1910,2967,114332
08,51,VA,Virginia,1840,3604,127159
08,56,WY,Wyoming,1802,3326,132638
08,32,NV,Nevada,1802,3330,117289
08,20,KS,Kansas,1799,3610,94071
08,29,MO,Missouri,1763,3425,91500
08,31,NE,Nebraska,1739,3387,83527
08,26,MI,Michigan,1575,2859,92279
08,27,MN,Minnesota,1575,2942,94284
08,40,OK,Oklahoma,1561,3150,87630
08,39,OH,Ohio,1491,2737,78808
08,47,TN,Tennessee,1401,2712,100117
08,42,PA,Pennsylvania,1305,2289,76079
08,30,MT,Montana,1156,2072,72370
08,55,WI,Wisconsin,1142,2075,67058
08,16,ID,Idaho,1055,2213,62252
08,25,MA,Massachusetts,1000,1614,74298
08,19,IA,Iowa,987,1843,38311
08,18,IN,Indiana,975,1886,54623
08,45,SC,South Carolina,846,1703,47957
08,15,HI,Hawaii,815,1597,56504
08,24,MD,Maryland,802,1553,24661
08,22,LA,Louisiana,730,1422,35531
08,46,SD,South Dakota,697,1292,41019
08,01,AL,Alabama,696,1491,38369
08,05,AR,Arkansas,666,1364,34603
08,02,AK,Alaska,645,1238,34376
08,34,NJ,New Jersey,615,1078,41405
08,21,KY,Kentucky,613,1268,32972
08,38,ND,North Dakota,506,954,30702
08,28,MS,Mississippi,413,726,17260
08,09,CT,Connecticut,371,621,29628
08,33,NH,New Hampshire,323,531,16470
08,23,ME,Maine,321,568,19473
08,11,DC,District Of Columbia,250,301,16204
08,50,VT,Vermont,204,305,9709
08,54,WV,West Virginia,165,297,9090
08,44,RI,Rhode Island,114,183,6460
08,10,DE,Delaware,111,192,5277
09,96,CT,CT Total Migration-US and Foreign,48944,84560,6038547
09,97,CT,CT Total Migration-US,47851,82360,5844997
09,98,CT,CT Total Migration-Foreign,1093,2200,193549
09,97,CT,CT Total Migration-Same State,28939,46978,1828980
09,09,CT,CT Non-migrants,1379735,2819115,150152039
09,36,NY,New York,8202,12397,915776
09,12,FL,Florida,7944,14634,2011314
09,25,MA,Massachusetts,5071,7618,439825
09,06,CA,California,2928,4769,328223
09,37,NC,North Carolina,2283,4373,183288
09,48,TX,Texas,1883,3763,242473
09,34,NJ,New Jersey,1798,3191,171678
09,42,PA,Pennsylvania,1455,2547,135133
09,45,SC,South Carolina,1424,2692,140463
09,51,VA,Virginia,1419,2590,115185
09,13,GA,Georgia,1310,2564,95972
09,44,RI,Rhode Island,1220,1881,84039
09,57,FR,Foreign,1093,2200,193549
09,33,NH,New Hampshire,823,1454,93399
09,24,MD,Maryland,814,1446,63249
09,08,CO,Colorado,771,1169,76425
09,23,ME,Maine,727,1275,55848
09,04,AZ,Arizona,692,1218,68461
09,53,WA,Washington,672,1200,55429
09,17,IL,Illinois,671,1215,86734
09,39,OH,Ohio,574,1129,43517
09,47,TN,Tennessee,542,988,52264
09,50,VT,Vermont,474,724,41468
09,26,MI,Michigan,362,700,39118
09,11,DC,District Of Columbia,319,384,23340
09,41,OR,Oregon,263,394,16664
09,15,HI,Hawaii,263,516,15147
09,18,IN,Indiana,245,504,20660
09,32,NV,Nevada,228,397,19684
09,55,WI,Wisconsin,216,425,20079
09,29,MO,Missouri,209,385,17715
09,27,MN,Minnesota,205,410,23181
09,10,DE,Delaware,182,320,18944
09,21,KY,Kentucky,178,356,13004
09,01,AL,Alabama,174,344,9505
09,49,UT,Utah,171,369,20390
09,22,LA,Louisiana,163,263,7969
09,35,NM,New Mexico,120,191,5837
09,20,KS,Kansas,114,234,10105
09,40,OK,Oklahoma,94,196,4563
09,19,IA,Iowa,88,160,5631
09,05,AR,Arkansas,72,147,5472
09,02,AK,Alaska,68,84,3676
09,31,NE,Nebraska,64,119,5701
09,30,MT,Montana,62,96,4995
09,16,ID,Idaho,62,114,6890
09,28,MS,Mississippi,61,123,2795
09,54,WV,West Virginia,57,108,3090
09,56,WY,Wyoming,42,67,16848
09,46,SD,South Dakota,36,59,1963
09,38,ND,North Dakota,36,58,1866
10,96,DE,DE Total Migration-US and Foreign,14707,26900,1011952
10,97,DE,DE Total Migration-US,14401,26309,993860
10,98,DE,DE Total Migration-Foreign,306,591,18092
10,97,DE,DE Total Migration-Same State,3753,6901,182193
10,10,DE,DE Non-migrants,349150,720479,25279846
10,42,PA,Pennsylvania,3136,5653,231300
10,24,MD,Maryland,2378,4304,111654
10,12,FL,Florida,1390,2556,126810
10,34,NJ,New Jersey,1050,1821,77815
10,51,VA,Virginia,793,1493,48729
10,36,NY,New York,648,971,36620
10,48,TX,Texas,525,1076,36633
10,37,NC,North Carolina,522,999,35902
10,06,CA,California,521,907,54654
10,13,GA,Georgia,378,776,20243
10,57,FR,Foreign,306,591,18092
10,45,SC,South Carolina,259,501,27860
10,39,OH,Ohio,202,379,13412
10,25,MA,Massachusetts,183,306,14539
10,04,AZ,Arizona,168,334,10491
10,08,CO,Colorado,167,289,11104
10,47,TN,Tennessee,165,330,9183
10,17,IL,Illinois,163,325,16253
10,53,WA,Washington,155,276,11095
10,26,MI,Michigan,131,254,9169
10,09,CT,Connecticut,119,202,9632
10,11,DC,District Of Columbia,100,108,6335
10,29,MO,Missouri,83,175,6021
10,18,IN,Indiana,83,156,5393
10,32,NV,Nevada,74,122,4429
10,54,WV,West Virginia,65,124,2792
10,21,KY,Kentucky,65,131,4022
10,41,OR,Oregon,64,118,4249
10,01,AL,Alabama,63,143,3932
10,55,WI,Wisconsin,61,143,4222
10,40,OK,Oklahoma,55,124,2270
10,22,LA,Louisiana,55,112,4597
10,49,UT,Utah,52,93,2743
10,27,MN,Minnesota,47,88,2191
10,20,KS,Kansas,44,89,2670
10,15,HI,Hawaii,44,84,2096
10,23,ME,Maine,41,77,2025
10,19,IA,Iowa,41,69,2255
10,33,NH,New Hampshire,39,80,4460
10,28,MS,Mississippi,39,76,1671
10,05,AR,Arkansas,31,66,1568
10,44,RI,Rhode Island,28,48,1850
10,35,NM,New Mexico,27,46,1722
10,31,NE,Nebraska,24,46,1428
10,38,ND,North Dakota,24,42,752
10,50,VT,Vermont,21,36,1449
10,30,MT,Montana,19,35,912
10,02,AK,Alaska,19,40,818
10,46,SD,South Dakota,15,33,846
10,16,ID,Idaho,15,33,629
10,56,WY,Wyoming,10,20,415
11,96,DC,DC Total Migration-US and Foreign,29824,45117,2632155
11,97,DC,DC Total Migration-US,29007,43735,2545451
11,98,DC,DC Total Migration-Foreign,817,1382,86705
11,11,DC,DC Non-migrants,256149,428971,27065485
11,24,MD,Maryland,9352,16599,679734
11,51,VA,Virginia,5268,7713,504005
11,06,CA,California,2319,3036,256530
11,36,NY,New York,2277,2723,202399
11,12,FL,Florida,931,1352,139603
11,48,TX,Texas,822,1251,77804
11,57,FR,Foreign,817,1382,86705
11,42,PA,Pennsylvania,794,1061,63343
11,25,MA,Massachusetts,764,978,64057
11,37,NC,North Carolina,760,1167,67145
11,17,IL,Illinois,627,759,54406
11,13,GA,Georgia,499,736,32367
11,08,CO,Colorado,472,660,50202
11,34,NJ,New Jersey,417,525,33680
11,53,WA,Washington,408,546,36445
11,39,OH,Ohio,287,413,26516
